epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,112234.0,1.28515,1.63587,1.28826,0.59476,0.44786,0.48073,0.33615,1.16326,1.28258,1.18365,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,113274.0,1.28303,1.63301,1.28685,0.58761,0.45106,0.48093,0.33664,1.16327,1.28228,1.18359,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,114311.0,1.28423,1.63305,1.28796,0.58357,0.45278,0.48111,0.33682,1.16248,1.2816,1.18318,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,115353.0,1.28287,1.63312,1.28822,0.58262,0.45341,0.48123,0.33683,1.16191,1.28057,1.18272,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,116390.0,1.28131,1.63104,1.28616,0.58542,0.45287,0.48131,0.3368,1.1615,1.28066,1.1825,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,117433.0,1.2826,1.62857,1.2865,0.58175,0.45575,0.48215,0.33709,1.16161,1.27991,1.1825,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,118467.0,1.28169,1.63066,1.28794,0.58091,0.45499,0.4827,0.33757,1.16128,1.27975,1.18284,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,119505.0,1.28211,1.63115,1.28766,0.58007,0.4554,0.48296,0.33774,1.16098,1.27918,1.18247,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,120545.0,1.281,1.63185,1.28691,0.57517,0.45951,0.48297,0.33734,1.16149,1.27893,1.18254,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,121586.0,1.28154,1.62731,1.28666,0.58675,0.4519,0.48309,0.33766,1.1619,1.27895,1.18284,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,122626.0,1.28347,1.63183,1.28738,0.5919,0.45003,0.48385,0.33794,1.16162,1.27848,1.18234,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,123668.0,1.27988,1.62756,1.28644,0.59143,0.45183,0.48392,0.33805,1.1618,1.27943,1.18257,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,124710.0,1.28195,1.6282,1.28707,0.59121,0.44845,0.48363,0.33787,1.16181,1.27906,1.18264,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,125746.0,1.28035,1.62738,1.28611,0.59416,0.44571,0.48327,0.33781,1.16152,1.27869,1.18253,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,126789.0,1.27953,1.62411,1.28563,0.593,0.44778,0.4841,0.33802,1.16154,1.27769,1.18227,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,127825.0,1.27967,1.62499,1.28655,0.59409,0.44853,0.48434,0.33859,1.16082,1.27709,1.18189,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,128866.0,1.28035,1.62631,1.2866,0.59465,0.45184,0.48435,0.33854,1.16111,1.27764,1.18182,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,129902.0,1.27772,1.62278,1.2847,0.59019,0.45445,0.48449,0.33877,1.16076,1.27724,1.18166,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,130944.0,1.28003,1.62419,1.28534,0.58154,0.45769,0.48447,0.33883,1.16113,1.27719,1.18202,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
